Unnamed: 0,English,Hindi
407,Health Care,स्वास्थ्य देखभाल
412,Nursing,नर्सिंग
417,Anatomy,शरीर रचना
422,Veterinary Science,पशु चिकित्सा विज्ञान
427,Continuing Medical Education (CME),सतत चिकित्सा शिक्षा (सीएमई)
432,View all Health & Medicine,सभी स्वास्थ्य व चिकित्सा देखें
443,Mathematics,अंक शास्त्र
449,Statistics & Probability,सांख्यिकी और संभावना
454,Foundations of Mathematics,गणित की नींव
459,Calculus,गणना
464,Discrete Mathematics,गणित पृथक करें
469,Trigonometry,त्रिकोणमिति
474,Geometry,ज्यामिति
479,Algebra,बीजगणित
484,Precalculus,प्रीकैलकुलस
489,Number Theory,संख्या सिद्धांत
494,Combinatorics,साहचर्य
499,Mathematical logic,गणितीय तर्क
504,Linear Programming,रैखिक प्रोग्रामिंग
509,View all Mathematics,सभी गणित देखें
520,Business,व्यवसाय
526,Management & Leadership,प्रबंधन और नेतृत्व
531,Finance,वित्त
536,Entrepreneurship,उद्यमशीलता
541,Marketing,विपणन
546,Strategic Management,कूटनीतिक प्रबंधन
551,Industry Specific,उद्योग विशिष्ट
556,Business Intelligence,व्यापारिक सूचना
561,Accounting,लेखांकन
566,Human Resources,मानव संसाधन
571,Project Management,परियोजना प्रबंधन
576,Sales,बिक्री
581,Design Thinking,सोच को आकार दें
586,Business Software,व्यापार सॉफ्टवेयर
591,Risk Management,जोखिम प्रबंधन
596,Corporate Social Responsibility,कॉर्पोरेट की सामाजिक जिम्मेदारी
601,Customer Service,ग्राहक सेवा
606,Nonprofit Management,गैर-लाभकारी प्रबंधन
611,Innovation,नवाचार
616,Operations Management,संचालन प्रबंधन
621,View all Business,सभी व्यवसाय देखें
632,Humanities,मानविकी
638,History,इतिहास
643,Literature,साहित्य
648,Language Learning,भाषा सीखने
653,Grammar & Writing,व्याकरण और लेखन
658,Philosophy,दर्शन
663,Religion,धर्म
668,ESL,ईएसएल
673,Culture,संस्कृति
678,Sports,खेल
683,Journalism,पत्रकारिता
688,Ethics,नीति
693,Linguistics,भाषा विज्ञान
698,Food,खाना
703,Library Science,पुस्तकालय विज्ञान
708,Reading,अध्ययन
713,Crisis Management,संकट प्रबंधन
718,View all Humanities,सभी मानविकी देखें
729,Engineering,अभियांत्रिकी
735,Electrical Engineering,विद्युत अभियन्त्रण
740,Mechanical Engineering,मैकेनिकल इंजीनियरिंग
745,Civil Engineering,असैनिक अभियंत्रण
750,Robotics,रोबोटिक
755,Nanotechnology,नैनो
760,GIS,गिस
765,Textiles,कपड़ा
770,Manufacturing,उत्पादन
775,BIM,बीआईएम
780,CAD,पाजी
785,Chemical Engineering,केमिकल इंजीनियरिंग
790,Energy Systems,ऊर्जा प्रणाली
795,Aerospace Engineering,अंतरिक्ष इंजिनीयरिंग
800,View all Engineering,सभी इंजीनियरिंग देखें
811,Science,विज्ञान
817,Chemistry,रसायन विज्ञान
822,Physics,भौतिक विज्ञान
827,Environmental Science,पर्यावरण विज्ञान
832,Astronomy,खगोल
837,Biology,जीवविज्ञान
842,Agriculture,कृषि
847,Materials Science,पदार्थ विज्ञान
852,Earth Science,भू - विज्ञान
857,Applied Science,व्यावहारिक विज्ञान
862,Forensic Science,फोरेंसिक विज्ञान
867,View all Science,सभी विज्ञान देखें
878,Education & Teaching,शिक्षा और शिक्षण
884,K12,K12
889,Higher Education,उच्च शिक्षा
894,STEM,तना
899,Teacher Professional Development,शिक्षक व्यावसायिक विकास
904,Course Development,पाठ्यक्रम विकास
909,Online Education,ऑनलाइन शिक्षा
914,Test Prep,परीक्षण तैयारी
919,Pedagogy,शिक्षा शास्त्र
924,View all Education & Teaching,सभी शिक्षा और शिक्षण देखें
935,Social Sciences,सामाजिक विज्ञान
941,Sociology,समाज शास्त्र
946,Economics,अर्थशास्त्र
951,Psychology,मनोविज्ञान
956,Anthropology,मनुष्य जाति का विज्ञान
961,Political Science,राजनीति विज्ञान
966,Law,कानून
971,Urban Planning,शहरी नियोजन
976,Human Rights,मानव अधिकार
981,Sustainability,वहनीयता
986,Governance,शासन
991,Archaeology,पुरातत्त्व
996,Social Work,सामाजिक कार्य
1001,View all Social Sciences,सभी सामाजिक विज्ञान देखें
1012,Art & Design,कला डिजाइन
1018,Music,संगीत
1023,Digital Media,डिजीटल मीडिया
1028,Visual Arts,दृश्य कला
1033,Design & Creativity,डिजाइन और रचनात्मकता
1038,View all Art & Design,सभी कला और डिज़ाइन देखें
1049,Data Science,डेटा विज्ञान
1055,Bioinformatics,बायोइनफॉरमैटिक्स
1060,Big Data,बड़ा डेटा
1065,Data Mining,डेटा खनन
1070,Data Analysis,डेटा विश्लेषण
1075,Data Visualization,डेटा विज़ुअलाइज़ेशन
1080,Jupyter Notebooks,ज्यूपिटर नोटबुक
1085,View all Data Science,सभी डेटा विज्ञान देखें
1096,Programming,प्रोग्रामिंग
1102,Mobile Development,मोबाइल विकास
1107,Web Development,वेब विकास
1112,Databases,डेटाबेस
1117,Game Development,खेल का विकास
1122,Programming Languages,प्रोग्रामिंग भाषा
1127,Software Development,सॉफ्टवेयर डेवलपमेंट
1132,Cloud Computing,क्लाउड कम्प्यूटिंग
1137,View all Programming,सभी प्रोग्रामिंग देखें
1148,Personal Development,व्यक्तिगत विकास
1154,Communication Skills,संचार कौशल
1159,Career Development,कैरियर विकास
1164,Self Improvement,आत्म सुधार
1169,Presentation Skills,कौशल प्रस्तुति
1174,Resilience,लचीलापन
1179,View all Personal Development,सभी व्यक्तिगत विकास देखें
1190,Information Security (InfoSec),सूचना सुरक्षा (इन्फोसेक)
1196,Cybersecurity,साइबर सुरक्षा
1201,Network Security,नेटवर्क सुरक्षा
1206,Ethical Hacking,नैतिक हैकिंग
1211,Digital Forensics,डिजिटल फोरेंसिक
1216,Reverse Engineering,रिवर्स इंजीनियरिंग
1221,Penetration Testing,भेदन परीक्षण
1226,Malware Analysis,मैलवेयर विश्लेषण
1231,DevSecOps,DevSecOps
1236,OSINT (Open Source Intelligence),OSINT (ओपन सोर्स इंटेलिजेंस)
1241,Threat Intelligence,धमकी खुफिया
1246,Information Security Certifications,सूचना सुरक्षा प्रमाणपत्र
1251,Red Team,रेड टीम
1256,Blue Team,नीली टीम
1261,View all Information Security (InfoSec),सभी सूचना सुरक्षा देखें (इन्फोसेक)
1272,            The Report,रिपोर्ट
1273,          ,
1282,          2022 Year in Review: The “New Normal” that Wasn’t,"2022 समीक्षाधीन वर्ष: ""नया सामान्य"" जो नहीं था"
1283,        ,
1285,"The pandemic ushered in a “new normal” in online learning, but it culminated in layoffs and stock drops.","महामारी ने ऑनलाइन सीखने में एक ""नए सामान्य"" की शुरुआत की, लेकिन इसकी परिणति छंटनी और स्टॉक ड्रॉप में हुई।"
1289,          Dhawal Shah,धवल शाह
1290,        ,
1291,"Jan 02, 2023","जनवरी 02, 2023"
1295,Latest,नवीनतम
1298,Learn How To Think Like A Data Scientist: A Review of Exploratory Data Analysis with MATLAB,डेटा साइंटिस्ट की तरह सोचना सीखें: MATLAB के साथ खोजपूर्ण डेटा विश्लेषण की समीक्षा
1301,Empowering Future Educators: A Review of ‘Learning to Teach – Mentoring and Tutoring Student Teachers’,भविष्य के शिक्षकों को सशक्त बनाना: 'लर्निंग टू टीच - मेंटरिंग एंड ट्यूटरिंग स्टूडेंट टीचर्स' की समीक्षा
1304,"Udemy Lays Off ~200 Staff, After Being Only Major Player to Avoid Layoffs in 2022","उडेमी ने ~200 कर्मचारियों की छंटनी की, 2022 में छंटनी से बचने वाला एकमात्र प्रमुख खिलाड़ी होने के बाद"
1307,9 Best DaVinci Resolve Courses to Take in 2023,2023 में लेने के लिए 9 सर्वश्रेष्ठ DaVinci Resolve पाठ्यक्रम
1310,25 Most Popular Online Courses Starting in March 2023,मार्च 2023 से शुरू हो रहे 25 सबसे लोकप्रिय ऑनलाइन कोर्स
1317,      Visit,मिलने जाना
1318,      The Report,रिपोर्ट
1335,Organize and share your learning with Class Central Lists.,क्लास सेंट्रल लिस्ट के साथ अपने सीखने को व्यवस्थित और साझा करें।
1336,View our Lists Showcase,हमारी सूची शोकेस देखें
1338,          Sign up,साइन अप करें
1339,        ,
1345,Log in,लॉग इन करें
1346,or,या
1348,                Sign up,साइन अप करें
1349,              ,
1362,          Log in,लॉग इन करें
1363,        ,
1367,          Sign up,साइन अप करें
1368,        ,
1385,        Find your next course.,अपना अगला कोर्स खोजें।
1386,      ,
1413,700+ Free Google Certifications,700+ निःशुल्क Google प्रमाणन
1414, Trending,रुझान
1421,Most common,अत्यन्त साधारण
1427,digital marketing,डिजिटल विपणन
1435,law,कानून
1443,machine learning,यंत्र अधिगम
1450,Popular subjects,लोकप्रिय विषय
1456,Marketing,विपणन
1457,"5,037 courses","5,037 पाठ्यक्रम"
1465,Computer Science,कंप्यूटर विज्ञान
1466,"8,575 courses","8,575 पाठ्यक्रम"
1474,Business,व्यवसाय
1475,"19,506 courses","19,506 पाठ्यक्रम"
1482,Popular courses,लोकप्रिय पाठ्यक्रम
1488,Food as Medicine,औषधि के रूप में भोजन
1489,Monash University,मोनाश विश्वविद्यालय
1497,Whole genome sequencing of bacterial genomes - tools and applications,बैक्टीरियल जीनोम का संपूर्ण जीनोम अनुक्रमण - उपकरण और अनुप्रयोग
1498,Technical University of Denmark (DTU),डेनमार्क के तकनीकी विश्वविद्यालय (डीटीयू)
1506,The Art of Structural Engineering: Vaults,स्ट्रक्चरल इंजीनियरिंग की कला: वाल्ट्स
1507,Princeton University,प्रिंसटन विश्वविद्यालय
1519,          Or browse by  subject  or university,या विषय या विश्वविद्यालय द्वारा ब्राउज़ करें
1521,Learn more,और अधिक जानें
1525,Popular coursesFree CertificatesIvy LeagueStanfordBest of All TimeComputer ScienceSustainabilityMITGoogleAmazonBusinessBest Courses GuidesDeals and Discounts ,
लोकप्रिय पाठ्यक्रमनिःशुल्क प्रमाणपत्रआइवी लीगस्टैनफोर्डबेस्ट ऑफ ऑल टाइम कंप्यूटर साइंस सस्टेनेबिलिटीएमआईटीगूगलअमेज़नव्यापारसर्वश्रेष्ठ पाठ्यक्रम मार्गदर्शिकाएँ सौदे और छूट
1531,"        Find the best courses, wherever they exist","सर्वोत्तम पाठ्यक्रम खोजें, चाहे वे कहीं भी हों"
1532,      ,
1540,~1000 Universities,~ 1000 विश्वविद्यालय
1545,Harvard University,विदेश महाविद्यालय
1551,Stanford University,स्टैनफोर्ड विश्वविद्यालय
1557,IIT Kharagpur,आईआईटी खड़गपुर
1563,MIT,साथ
1569,Rice University,चावल विश्वविद्यालय
1575,IIT Madras,आईआईटी मद्रास
1581,Columbia University,कोलम्बिया विश्वविद्यालय
1587,Cornell University,कॉर्नेल विश्वविद्यालय
1593,U. of Edinburgh,एडिनबर्ग के यू
1599,Purdue University,पर्ड्यू विश्वविद्यालय
1605,U. of Pennsylvania,पेंसिल्वेनिया के यू
1611,Duke University,ड्यूक विश्वविद्यालय
1617,U. of Michigan,मिशिगन के यू
1624,              Browse universities,विश्वविद्यालयों को ब्राउज़ करें
1625,            ,
1630,70 Providers,70 प्रदाता
1635,Coursera,Coursera
1641,edX,एडएक्स
1647,FutureLearn,फ्यूचरलर्न
1653,Udemy,Udemy
1659,Swayam,स्वयं
1665,LinkedIn Learning,लिंक्डइन लर्निंग
1671,Skillshare,skillshare
1678,              Browse providers,प्रदाताओं को ब्राउज़ करें
1679,            ,
1684,600+ Institutions,600+ संस्थान
1689,Google,गूगल
1695,Amazon,वीरांगना
1701,Microsoft,माइक्रोसॉफ्ट
1707,IBM,आईबीएम
1713,Smithsonian,स्मिथसोनियन
1719,United Nations,संयुक्त राष्ट्र
1725,British Council,ब्रिटिश परिषद
1732,              Browse institutions,संस्थानों को ब्राउज़ करें
1733,            ,
1748,        Rankings,रैंकिंग
1749,      ,
1751,        Tens of thousands of reviews written by Class Central users help you pick the best course.,क्लास सेंट्रल उपयोगकर्ताओं द्वारा लिखी गई दसियों हज़ार समीक्षाएँ आपको सर्वोत्तम पाठ्यक्रम चुनने में मदद करती हैं।
1752,      ,
1769,          View rankings,रैंकिंग देखें
1770,        ,
1777,As seen in,में जैसा दिखा
1794,National Public Radio,नेशनल पब्लिक रेडियो
1798,CNBC,सीएनबीसी
1853,        Get the most out of Class Central with a,ए के साथ क्लास सेंट्रल का अधिकतम लाभ उठाएं
1854,        ,
1855,          free account,नि: शुल्क खाता
1856,        ,
1860,50M,50 मीटर
1861,visitors,आगंतुकों
1864,3M,चाचा
1865,sign-ups,साइन-अप
1869,"13,460 sign ups in the past 7 days","पिछले 7 दिनों में 13,460 साइन अप हुए"
1870,        ,
1875,30M,30 मी
1877,            follows,इस प्रकार
1878,          ,
1880,"53,803 follows in the past 7 days","पिछले 7 दिनों में 53,803 अनुसरण करता है"
1881,            ,
1884,13M,दोपहर 13 बजे
1886,            bookmarks,बुकमार्क
1887,          ,
1889,"58,591 courses bookmarked in the past 7 days","पिछले 7 दिनों में 58,591 पाठ्यक्रम बुकमार्क किए गए"
1890,            ,
1893,700k,700k
1895,            lists created,सूचियाँ बनाई
1896,          ,
1898,"11,464 lists created in the past 7 days","पिछले 7 दिनों में 11,464 सूचियाँ बनाई गईं"
1899,            ,
1908,      Get the latest news and analysis in online education.,ऑनलाइन शिक्षा में नवीनतम समाचार और विश्लेषण प्राप्त करें।
1914,        Recent articles,तात्कालिक लेख
1915,        RSS Feed,आरएसएस फीड
1928,"                    Udemy Lays Off ~200 Staff, After Being Only Major Player to Avoid Layoffs in 2022","उडेमी ने ~200 कर्मचारियों की छंटनी की, 2022 में छंटनी से बचने वाला एकमात्र प्रमुख खिलाड़ी होने के बाद"
1929,                  ,
1933,By Dhawal Shah,धवल शाह द्वारा
1934,"Feb 15th, 2023","15 फरवरी, 2023"
1945,                    Harvard CS50 Guide: How to Pick the Right Course (with Free Certificate),हार्वर्ड CS50 गाइड: सही कोर्स कैसे चुनें (मुफ्त प्रमाणपत्र के साथ)
1946,                  ,
1950,By Manoel Cortes Mendez,मनोएल कोर्टेस मेंडेज़ द्वारा
1951,"Feb 7th, 2023","फरवरी 7, 2023"
1962,                    Massive List of Chinese Online Course Platforms in 2023,2023 में चीनी ऑनलाइन पाठ्यक्रम प्लेटफार्मों की विशाल सूची
1963,                  ,
1967,By Rui Ma,रुई मा द्वारा
1968,"Feb 6th, 2023","फरवरी 6, 2023"
1979,"                    FutureLearn Under New Leadership Expands Paywall, Restricts Course Binging","फ्यूचरलर्न अंडर न्यू लीडरशिप ने पेवॉल का विस्तार किया, कोर्स बिंगिंग को प्रतिबंधित किया"
1980,                  ,
1984,By Pat Bowden,पैट बोडेन द्वारा
1985,"Jan 31st, 2023","जनवरी 31, 2023"
1996,"                    202K Courses, 662M Enrollments: Breaking Down Udemy’s Massive Catalog","202K पाठ्यक्रम, 662M नामांकन: उडेमी की विशाल सूची को तोड़ना"
1997,                  ,
2001,By Dhawal Shah,धवल शाह द्वारा
2002,"Jan 25th, 2023","जन ने, 2023 लिया"
2013,"                    Domestika, the Online Learning Unicorn, Closes Global Offices and Downsizes Staff by 40%","डोमेस्टिका, ऑनलाइन लर्निंग यूनिकॉर्न, वैश्विक कार्यालयों को बंद करता है और कर्मचारियों को 40% तक कम करता है"
2014,                  ,
2018,By Dhawal Shah,धवल शाह द्वारा
2019,"Jan 23rd, 2023","जनवरी शो, 2023"
2030,"                    Thinkific Lays Off 75 More Employees, After the 100 of Last March",पिछले मार्च के 100 के बाद थिंकिफिक ने 75 और कर्मचारियों की छंटनी की
2031,                  ,
2035,By Dhawal Shah,धवल शाह द्वारा
2036,"Jan 16th, 2023","16 जनवरी, 2023"
2047,"                    Udemy CEO to Retire, Replaced by President of Udemy Business","उडेमी सीईओ सेवानिवृत्त होंगे, उनकी जगह उडेमी बिजनेस के अध्यक्ष लेंगे"
2048,                  ,
2052,By Dhawal Shah,धवल शाह द्वारा
2053,"Jan 11th, 2023","11 जनवरी, 2023"
2064,                    Harvard CS50 in 2023: How to Get a Free Certificate,2023 में हार्वर्ड CS50: निःशुल्क प्रमाणपत्र कैसे प्राप्त करें
2065,                  ,
2069,By Manoel Cortes Mendez,मनोएल कोर्टेस मेंडेज़ द्वारा
2070,"Jan 9th, 2023","जीन कट्टा, 2023"
2079,Best Courses Guides,सर्वश्रेष्ठ पाठ्यक्रम मार्गदर्शिकाएँ
2090,                9 Best DaVinci Resolve Courses,9 सर्वश्रेष्ठ DaVinci समाधान पाठ्यक्रम
2091,              ,
2094,Archisha Bhar,अर्चिशा भर
2095,"Feb 14th, 2023","14 फरवरी, 2023"
2108,                6 Best Free Prolog Courses,6 सर्वश्रेष्ठ निःशुल्क प्रोलॉग पाठ्यक्रम
2109,              ,
2112,Elham Nazif,रक्तस्रावी प्रेरणा
2113,"Feb 13th, 2023","फरवरी 13, 2023"
2126,                10 Best Japanese Courses,10 सर्वश्रेष्ठ जापानी पाठ्यक्रम
2127,              ,
2130,Archisha Bhar,अर्चिशा भर
2131,"Feb 8th, 2023","8 फरवरी, 2023"
2144,                7 Best Erlang Courses,7 सर्वश्रेष्ठ एरलांग पाठ्यक्रम
2145,              ,
2148,Elham Nazif,रक्तस्रावी प्रेरणा
2149,"Feb 7th, 2023","फरवरी 7, 2023"
2162,                10 Best CSS Animation Courses,10 सर्वश्रेष्ठ सीएसएस एनिमेशन पाठ्यक्रम
2163,              ,
2166,Kinjal Vora,किंजल वोरा
2167,"Feb 6th, 2023","फरवरी 6, 2023"
2177,        More on The Report,रिपोर्ट पर अधिक
2186,        Browse our popular curated collections,हमारे लोकप्रिय क्यूरेटेड संग्रह ब्राउज़ करें
2224,          Browse collections,संग्रह ब्राउज़ करें
2225,        ,
2237,Home,घर
2241,                          Home,घर
2242,                      ,
2248,                Browse by subject,विषय द्वारा ब्राउज़ करें
2249,              ,
2252,Computer Science,कंप्यूटर विज्ञान
2255,Psychology,मनोविज्ञान
2258,Cybersecurity,साइबर सुरक्षा
2261,Health,स्वास्थ्य
2264,Law,कानून
2267,Accounting,लेखांकन
2270,Web Development,वेब विकास
2276,                Browse by provider,प्रदाता द्वारा ब्राउज़ करें
2277,              ,
2280,Coursera,Coursera
2283,edX,एडएक्स
2286,FutureLearn,फ्यूचरलर्न
2289,Udacity,उधम
2292,Swayam,स्वयं
2295,Udemy,Udemy
2298,LinkedIn Learning,लिंक्डइन लर्निंग
2304,                Browse by university,विश्वविद्यालय द्वारा ब्राउज़ करें
2305,              ,
2308,Harvard,हार्वर्ड
2311,Stanford,स्टैनफोर्ड
2314,Georgia Tech,जॉर्जिया टेक
2317,University of Michigan,मिशिगन यूनिवर्सिटी
2320,Purdue University,पर्ड्यू विश्वविद्यालय
2323,Duke University,ड्यूक विश्वविद्यालय
2326,IIT Madras,आईआईटी मद्रास
2334,                Browse by institution,संस्थान द्वारा ब्राउज़ करें
2335,              ,
2338,Google,गूगल
2341,Microsoft,माइक्रोसॉफ्ट
2344,IBM,आईबीएम
2347,Amazon,वीरांगना
2350,Linux Foundation,लिनक्स फाउंडेशन
2353,British Council,ब्रिटिश परिषद
2356,Salesforce,बिक्री बल
2362,                Rankings,रैंकिंग
2363,              ,
2366,Best Online Courses of All Time,अब तक के सर्वश्रेष्ठ ऑनलाइन पाठ्यक्रम
2369,Best Online Courses of the Year,वर्ष का सर्वश्रेष्ठ ऑनलाइन पाठ्यक्रम
2372,Most Popular Courses of All Time,अब तक के सबसे लोकप्रिय पाठ्यक्रम
2375,Most Popular Courses of the Year,वर्ष के सर्वाधिक लोकप्रिय पाठ्यक्रम
2378,250 Top FREE Coursera Courses of All Time,अब तक के 250 टॉप फ्री कौरसेरा कोर्स
2381,100 Top FREE edX Courses of All Time,सभी समय के 100 शीर्ष निःशुल्क एडएक्स पाठ्यक्रम
50 Top Udemy Cour2384,2ses of All Time,अब तक के 250 शीर्ष उदमी पाठ्यक्रम
2394,The Report by Class Central,क्लास सेंट्रल द्वारा रिपोर्ट
2395,              ,
2397,                RSS Feed,आरएसएस फीड
2398,              ,
2401,"The ""New Normal"" that Wasn't","""नया सामान्य"" जो नहीं था"
2404,DDoS Attack on Class Central,क्लास सेंट्रल पर DDoS अटैक
2407,500+ Online Degrees in India,भारत में 500+ ऑनलाइन डिग्री
2410,Harvard's CS50 Free Certificate Guide,हार्वर्ड की CS50 फ्री सर्टिफिकेट गाइड
2413,How Open University Works,ओपन यूनिवर्सिटी कैसे काम करती है
2418,Free Certificates & Courses,नि: शुल्क प्रमाणपत्र और पाठ्यक्रम
2421,700+ Free Google Certificates,700+ मुफ़्त Google प्रमाणपत्र
2424,Free LinkedIn Learning Certificates,फ्री लिंक्डइन लर्निंग सर्टिफिकेट
2427,1600+ Free Coursera Courses,1600+ निःशुल्क कौरसेरा पाठ्यक्रम
2430,Ivy League Online Courses,आइवी लीग ऑनलाइन पाठ्यक्रम
2433,175+ Free Writing Online Courses,175+ निःशुल्क लेखन ऑनलाइन पाठ्यक्रम
2441,                About Class Central,क्लास सेंट्रल के बारे में
2442,              ,
2443,"Class Central aggregates courses from many providers to help you find the best courses on almost any subject, wherever they exist.","क्लास सेंट्रल कई प्रदाताओं से पाठ्यक्रम एकत्र करता है, जिससे आपको लगभग किसी भी विषय पर सर्वोत्तम पाठ्यक्रम खोजने में मदद मिलती है, चाहे वे कहीं भी मौजूद हों।"
2445,Facebook,फेसबुक
2446,Twitter,ट्विटर
2447,LinkedIn,Linkedin
2448,YouTube,यूट्यूब
2454,Class Central © 2011-2023 Privacy Policy,क्लास सेंट्रल © 2011-2023 गोपनीयता नीति
2457,About Us,हमारे बारे में
2460,Join Us,हमसे जुड़ें
2463,Help Center,सहायता केंद्र
2466,Contact Us,संपर्क करें
2473,  ,
2478,Share,शेयर करना
2483,Facebook,फेसबुक
2488,Twitter,ट्विटर
2493,Email,ईमेल
2498,Copy link,लिंक की प्रतिलिपि करें
